Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
19/12/2022 12:00:00 AM,247.62 V,249.09 V,247.72 V,7.56 A,4.93 A,4.93 A,-0.97 pf
19/12/2022 12:30:00 AM,247.60 V,249.04 V,247.67 V,7.53 A,4.38 A,4.93 A,-0.98 pf
19/12/2022 1:00:00 AM,248.17 V,249.32 V,247.99 V,7.62 A,5.56 A,4.93 A,-0.97 pf
19/12/2022 1:30:00 AM,245.50 V,246.74 V,245.31 V,7.38 A,5.08 A,5.26 A,-0.98 pf
19/12/2022 2:00:00 AM,243.79 V,245.18 V,243.73 V,7.17 A,5.14 A,5.08 A,-0.98 pf
19/12/2022 2:30:00 AM,242.77 V,244.03 V,242.69 V,6.86 A,4.84 A,5.14 A,-0.98 pf
19/12/2022 3:00:00 AM,243.36 V,244.52 V,243.18 V,6.89 A,4.99 A,4.72 A,-0.98 pf
19/12/2022 3:30:00 AM,244.08 V,245.38 V,243.96 V,6.89 A,4.72 A,4.47 A,-0.98 pf
19/12/2022 4:00:00 AM,242.77 V,244.22 V,242.75 V,6.92 A,4.87 A,5.05 A,-0.98 pf
19/12/2022 4:30:00 AM,243.01 V,244.37 V,243.03 V,6.86 A,4.81 A,4.20 A,-0.99 pf
19/12/2022 5:00:00 AM,242.70 V,243.94 V,242.60 V,6.86 A,4.84 A,3.90 A,-0.99 pf
19/12/2022 5:30:00 AM,242.24 V,243.60 V,242.10 V,6.92 A,4.87 A,4.26 A,-0.98 pf
19/12/2022 6:00:00 AM,241.67 V,243.15 V,241.71 V,6.92 A,4.69 A,5.02 A,-0.98 pf
19/12/2022 6:30:00 AM,244.16 V,245.49 V,244.01 V,6.95 A,4.14 A,5.08 A,-0.98 pf
19/12/2022 7:00:00 AM,247.48 V,248.35 V,247.56 V,6.92 A,5.47 A,5.20 A,-0.97 pf
19/12/2022 7:30:00 AM,243.96 V,244.64 V,244.64 V,6.83 A,4.99 A,4.78 A,-0.98 pf
19/12/2022 8:00:00 AM,242.69 V,243.30 V,243.53 V,14.09 A,12.21 A,9.34 A,-0.99 pf
19/12/2022 8:30:00 AM,240.37 V,241.07 V,241.43 V,21.01 A,19.68 A,10.16 A,-0.99 pf
19/12/2022 9:00:00 AM,241.42 V,241.84 V,242.03 V,21.37 A,19.41 A,13.54 A,-0.99 pf
19/12/2022 9:30:00 AM,240.38 V,240.75 V,240.69 V,24.19 A,18.77 A,19.44 A,-0.99 pf
19/12/2022 10:00:00 AM,240.97 V,241.31 V,241.26 V,23.31 A,17.75 A,19.59 A,-0.99 pf
19/12/2022 10:30:00 AM,241.78 V,242.14 V,241.98 V,23.94 A,18.50 A,19.80 A,-0.99 pf
19/12/2022 11:00:00 AM,240.42 V,240.83 V,240.85 V,23.97 A,18.20 A,18.77 A,-1.00 pf
19/12/2022 11:30:00 AM,240.09 V,240.62 V,240.52 V,25.52 A,18.38 A,20.01 A,-0.99 pf
19/12/2022 12:00:00 PM,241.02 V,241.50 V,241.26 V,25.61 A,18.41 A,19.86 A,-0.99 pf
19/12/2022 12:30:00 PM,242.07 V,242.74 V,242.63 V,24.76 A,18.23 A,20.56 A,-0.99 pf
19/12/2022 1:00:00 PM,241.50 V,242.07 V,242.03 V,24.97 A,18.74 A,20.98 A,-0.99 pf
19/12/2022 1:30:00 PM,239.66 V,240.21 V,240.32 V,25.09 A,18.44 A,20.47 A,-0.99 pf
19/12/2022 2:00:00 PM,239.53 V,240.01 V,240.09 V,24.43 A,18.14 A,20.23 A,-0.99 pf
19/12/2022 2:30:00 PM,240.76 V,241.31 V,241.26 V,24.22 A,17.66 A,19.26 A,-0.99 pf
19/12/2022 3:00:00 PM,241.12 V,241.79 V,241.55 V,25.58 A,18.77 A,19.41 A,-0.99 pf
19/12/2022 3:30:00 PM,241.66 V,242.48 V,242.19 V,26.06 A,18.59 A,19.62 A,-0.99 pf
19/12/2022 4:00:00 PM,241.76 V,242.45 V,242.12 V,24.79 A,17.35 A,18.90 A,-0.99 pf
19/12/2022 4:30:00 PM,241.35 V,242.31 V,241.79 V,23.46 A,15.87 A,16.99 A,-0.99 pf
19/12/2022 5:00:00 PM,240.99 V,242.41 V,241.98 V,22.10 A,13.06 A,11.67 A,-0.99 pf
19/12/2022 5:30:00 PM,241.67 V,243.34 V,243.05 V,19.80 A,11.46 A,8.31 A,-0.99 pf
19/12/2022 6:00:00 PM,242.65 V,243.87 V,243.55 V,8.95 A,6.86 A,7.68 A,-0.99 pf
19/12/2022 6:30:00 PM,241.71 V,243.15 V,242.10 V,7.59 A,4.20 A,7.13 A,-0.99 pf
19/12/2022 7:00:00 PM,243.87 V,245.38 V,243.89 V,7.53 A,5.53 A,7.17 A,-0.98 pf
19/12/2022 7:30:00 PM,244.85 V,246.41 V,244.76 V,7.23 A,5.32 A,6.83 A,-0.98 pf
19/12/2022 8:00:00 PM,245.04 V,246.53 V,245.02 V,7.41 A,5.17 A,6.23 A,-0.98 pf
19/12/2022 8:30:00 PM,245.80 V,247.19 V,245.85 V,7.32 A,5.05 A,6.41 A,-0.98 pf
19/12/2022 9:00:00 PM,246.72 V,248.15 V,246.77 V,7.41 A,5.23 A,6.71 A,-0.97 pf
19/12/2022 9:30:00 PM,247.79 V,249.11 V,247.63 V,7.47 A,4.84 A,7.04 A,-0.97 pf
19/12/2022 10:00:00 PM,248.18 V,249.52 V,248.11 V,7.50 A,5.05 A,6.77 A,-0.96 pf
19/12/2022 10:30:00 PM,243.84 V,245.25 V,243.85 V,7.29 A,4.90 A,5.56 A,-0.98 pf
19/12/2022 11:00:00 PM,245.61 V,246.89 V,245.62 V,7.32 A,5.05 A,5.38 A,-0.99 pf
19/12/2022 11:30:00 PM,247.41 V,248.75 V,247.43 V,7.44 A,4.87 A,5.62 A,-0.98 pf
