Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total,Power Ph-A,Power Ph-B,Power Ph-C,Total Power,Unix Timestamp
12/22/2021 0:00,246.91,248.37,246.88,7.47,4.44,4.53,1,1844.4177,1102.7628,1118.3664,4065.5469,62294400
12/22/2021 0:30,246.41,247.77,246,7.62,4.5,5.53,0.99,1858.867758,1103.81535,1346.7762,4309.459308,62296200
12/22/2021 1:00,246.33,247.93,245.98,7.26,4.2,7.2,0.97,1734.705126,1010.06682,1717.92432,4462.696266,62298000
12/22/2021 1:30,246.47,248.08,246.05,7.13,3.93,7.1,0.97,1704.611167,945.705768,1694.54635,4344.863285,62299800
12/22/2021 2:00,247.05,248.65,246.69,7.13,3.84,6.02,0.98,1726.23717,935.71968,1455.372324,4117.329174,62301600
12/22/2021 2:30,247.94,249.42,247.29,7.17,3.81,6.89,0.97,1724.397906,921.781494,1652.713257,4298.892657,62303400
12/22/2021 3:00,247.93,249.54,247.32,7.13,3.75,7.13,0.96,1697.031264,898.344,1692.855936,4288.2312,62305200
12/22/2021 3:30,248.41,250.09,247.87,7.17,3.78,7.35,0.96,1709.855712,907.526592,1748.97072,4366.353024,62307000
12/22/2021 4:00,246.76,248.25,246.1,7.26,3.72,7.07,0.97,1737.733272,895.7853,1687.72919,4321.247762,62308800
12/22/2021 4:30,244.13,245.64,243.48,7.04,3.54,7.07,0.97,1667.114944,843.478632,1669.761492,4180.355068,62310600
12/22/2021 5:00,243.72,245.4,243.17,7.04,3.54,6.98,0.98,1681.473024,851.34168,1663.380068,4196.194772,62312400
12/22/2021 5:30,243.18,244.85,242.74,7.04,3.54,5.62,0.99,1694.867328,858.10131,1350.556812,3903.52545,62314200
12/22/2021 6:00,243.61,245.06,243.01,6.89,3.17,5.38,0.99,1661.688171,769.071798,1294.319862,3725.079831,62316000
12/22/2021 6:30,243.12,244.44,242.36,6.53,2.78,6.86,0.99,1571.697864,672.747768,1645.963704,3890.409336,62317800
12/22/2021 7:00,243.56,244.66,243.05,6.92,2.57,7.95,0.97,1634.872144,609.912914,1874.280075,4119.065133,62319600
12/22/2021 7:30,243.82,244.7,244.23,6.59,2.75,6.11,0.99,1590.706062,666.19575,1477.322847,3734.224659,62321400
12/22/2021 8:00,243.12,243.51,243.53,12.73,14.15,14.9,1,3094.9176,3445.6665,3628.597,10169.1811,62323200
12/22/2021 8:30,243.79,244.03,244.08,15.03,15.72,20.83,0.99,3627.522063,3797.790084,5033.344536,12458.65668,62325000
12/22/2021 9:00,242.46,242.63,242.53,16.33,15.93,21.34,0.99,3919.778082,3826.444941,5123.834298,12870.05732,62326800
12/22/2021 9:30,242.63,242.77,242.69,15.63,15.96,21.65,1,3792.3069,3874.6092,5254.2385,12921.1546,62328600
12/22/2021 10:00,241.91,242.26,242.07,18.71,16.66,21.34,0.99,4480.874739,3995.691084,5114.116062,13590.68188,62330400
12/22/2021 10:30,240.64,241.19,240.85,22.28,15.48,21.13,0.99,5307.844608,3696.284988,5038.268895,14042.39849,62332200
12/22/2021 11:00,240.2,240.59,240.26,21.95,16.08,21.74,0.99,5219.6661,3830.000328,5171.019876,14220.6863,62334000
12/22/2021 11:30,243.3,243.82,243.56,22.83,16.05,21.25,0.99,5498.99361,3874.17789,5123.8935,14497.065,62335800
12/22/2021 12:00,243.68,244.22,244.32,23.04,15.57,18.77,0.99,5558.243328,3764.480346,4540.027536,13862.75121,62337600
12/22/2021 12:30,244.27,244.66,244.71,21.68,15.81,20.35,0.99,5242.815864,3829.393854,4930.050015,14002.25973,62339400
12/22/2021 13:00,243.91,244.3,244.35,21.16,16.05,21.65,0.99,5109.524244,3881.80485,5237.275725,14228.60482,62341200
12/22/2021 13:30,243.56,244.03,243.89,21.71,16.84,22.98,0.99,5234.810724,4068.370548,5548.546278,14851.72755,62343000
12/22/2021 14:00,242.98,243.53,243.34,22.01,17.35,21.74,0.99,5294.509902,4182.993045,5237.309484,14714.81243,62344800
12/22/2021 14:30,242.17,242.93,243.06,22.67,16.9,20.35,0.99,5435.093961,4064.46183,4896.80829,14396.36408,62346600
12/22/2021 15:00,244.73,245.5,245.42,22.4,17.53,22.73,0.99,5427.13248,4260.57885,5522.612634,15210.32396,62348400
12/22/2021 15:30,244.88,245.62,245.57,22.1,17.23,22.16,0.99,5357.72952,4189.712274,5387.412888,14934.85468,62350200
12/22/2021 16:00,244.94,245.55,245.47,22.04,16.78,20.07,1,5398.4776,4120.329,4926.5829,14445.3895,62352000
12/22/2021 16:30,245.49,246.09,245.85,22.16,16.45,18.71,1,5440.0584,4048.1805,4599.8535,14088.0924,62353800
12/22/2021 17:00,246.79,247.6,247.55,21.19,14.06,13.57,1,5229.4801,3481.256,3359.2535,12069.9896,62355600
12/22/2021 17:30,243.17,244.18,244.28,20.38,12.49,10.76,0.99,4906.246554,3019.310118,2602.168272,10527.72494,62357400
12/22/2021 18:00,243.67,244.4,244.68,16.17,12.76,9.46,0.99,3900.742461,3087.35856,2291.526072,9279.627093,62359200
12/22/2021 18:30,242.69,243.82,243.67,9.95,7.68,7.29,0.99,2390.617845,1853.812224,1758.590757,6003.020826,62361000
12/22/2021 19:00,243.61,245.06,243.61,8.53,4.87,7.07,0.99,2057.213367,1181.507778,1705.099473,4943.820618,62362800
12/22/2021 19:30,244.42,246.07,244.46,8.37,4.53,7.53,0.99,2025.337446,1103.550129,1822.375962,4951.263537,62364600
12/22/2021 20:00,245.11,246.62,245.06,8.34,4.6,8.34,0.98,2003.333052,1111.76296,2002.924392,5118.020404,62366400
12/22/2021 20:30,245.92,247.36,245.92,8.47,4.99,7.95,0.99,2062.112976,1221.983136,1935.51336,5219.609472,62368200
12/22/2021 21:00,246.98,248.58,247.2,8.59,5.87,7.98,0.99,2100.342618,1444.572954,1952.92944,5497.845012,62370000
12/22/2021 21:30,247.91,249.37,247.81,8.56,5.44,9.37,0.98,2079.667408,1329.441344,2275.540106,5684.648858,62371800
12/22/2021 22:00,245.31,246.76,245.33,8.22,6.35,8.5,0.98,1976.119236,1535.58748,2043.5989,5555.305616,62373600
