Date/Time	Voltage Ph-A Avg	Voltage Ph-B Avg	Voltage Ph-C Avg	Current Ph-A Avg	Current Ph-B Avg	Current Ph-C Avg	Power Factor Total
01/12/2022 12:30:00 AM	242.12 V	243.63 V	242.05 V	9.92 A	4.11 A	6.83 A	-0.99 pf
01/12/2022 1:00:00 AM	242.57 V	244.08 V	242.50 V	10.43 A	5.08 A	6.32 A	-0.99 pf
01/12/2022 1:30:00 AM	244.90 V	246.41 V	244.92 V	10.13 A	4.93 A	6.65 A	-0.99 pf
01/12/2022 2:00:00 AM	248.01 V	249.59 V	248.08 V	10.64 A	4.81 A	6.44 A	-0.98 pf
01/12/2022 2:30:00 AM	244.76 V	246.24 V	244.70 V	10.01 A	4.69 A	6.95 A	-0.99 pf
01/12/2022 3:00:00 AM	244.20 V	245.71 V	244.18 V	10.04 A	4.57 A	6.68 A	-0.99 pf
01/12/2022 3:30:00 AM	242.79 V	244.35 V	242.75 V	10.16 A	4.78 A	5.99 A	-0.99 pf
01/12/2022 4:00:00 AM	243.10 V	244.73 V	243.00 V	9.95 A	4.47 A	6.50 A	-0.99 pf
01/12/2022 4:30:00 AM	243.08 V	244.66 V	243.01 V	9.89 A	4.75 A	6.59 A	-0.99 pf
01/12/2022 5:00:00 AM	242.21 V	243.84 V	242.26 V	9.86 A	4.44 A	5.62 A	-1.00 pf
01/12/2022 5:30:00 AM	244.11 V	245.71 V	244.22 V	9.55 A	4.63 A	5.26 A	-0.99 pf
01/12/2022 6:00:00 AM	247.94 V	249.54 V	247.99 V	9.77 A	4.50 A	6.71 A	-0.98 pf
01/12/2022 6:30:00 AM	248.29 V	249.81 V	248.18 V	9.70 A	4.05 A	6.77 A	-0.98 pf
01/12/2022 7:00:00 AM	246.26 V	247.34 V	246.52 V	9.64 A	5.14 A	5.77 A	-0.98 pf
01/12/2022 7:30:00 AM	244.63 V	245.83 V	245.55 V	9.80 A	5.08 A	6.80 A	-0.99 pf
01/12/2022 8:00:00 AM	242.29 V	243.53 V	243.42 V	14.78 A	9.98 A	8.16 A	1.00 pf
01/12/2022 8:30:00 AM	241.91 V	243.17 V	242.98 V	14.93 A	9.77 A	9.86 A	1.00 pf
01/12/2022 9:00:00 AM	241.96 V	243.30 V	243.10 V	16.30 A	9.01 A	9.73 A	1.00 pf
01/12/2022 9:30:00 AM	239.39 V	240.87 V	240.69 V	17.93 A	8.31 A	10.19 A	1.00 pf
01/12/2022 10:00:00 AM	241.76 V	243.27 V	243.10 V	19.29 A	8.34 A	10.10 A	1.00 pf
01/12/2022 10:30:00 AM	241.59 V	243.05 V	242.70 V	18.99 A	8.50 A	11.70 A	0.99 pf
01/12/2022 11:00:00 AM	241.78 V	243.30 V	242.88 V	19.29 A	7.89 A	10.07 A	0.99 pf
01/12/2022 11:30:00 AM	242.21 V	243.67 V	243.25 V	19.65 A	8.10 A	11.52 A	0.99 pf
01/12/2022 12:00:00 PM	242.45 V	243.91 V	243.41 V	22.01 A	8.50 A	11.88 A	0.99 pf
