Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
19/03/2023 12:00:00 AM,245.52 V,246.71 V,245.78 V,9.28 A,4.75 A,4.66 A,-0.98 pf
19/03/2023 12:30:00 AM,245.38 V,246.64 V,245.59 V,9.19 A,4.60 A,5.17 A,-0.98 pf
19/03/2023 1:00:00 AM,245.55 V,246.76 V,245.74 V,8.80 A,4.44 A,4.81 A,-0.98 pf
19/03/2023 1:30:00 AM,244.71 V,245.81 V,244.80 V,8.80 A,4.81 A,4.41 A,-0.98 pf
19/03/2023 2:00:00 AM,242.60 V,243.84 V,242.74 V,8.62 A,4.75 A,5.05 A,-0.99 pf
19/03/2023 2:30:00 AM,242.19 V,243.25 V,242.33 V,8.56 A,4.60 A,3.05 A,-1.00 pf
19/03/2023 3:00:00 AM,242.45 V,243.58 V,242.58 V,8.56 A,4.57 A,3.66 A,-0.99 pf
19/03/2023 3:30:00 AM,242.82 V,243.99 V,242.72 V,8.53 A,4.50 A,4.96 A,-0.98 pf
19/03/2023 4:00:00 AM,243.44 V,244.54 V,243.30 V,8.50 A,4.50 A,4.53 A,-0.98 pf
19/03/2023 4:30:00 AM,243.06 V,244.30 V,243.12 V,8.53 A,4.38 A,4.47 A,-0.98 pf
19/03/2023 5:00:00 AM,243.58 V,244.64 V,243.42 V,8.37 A,4.57 A,5.08 A,-0.98 pf
19/03/2023 5:30:00 AM,243.61 V,244.70 V,243.51 V,8.10 A,4.47 A,3.96 A,-0.98 pf
19/03/2023 6:00:00 AM,243.37 V,244.46 V,243.20 V,8.25 A,4.50 A,5.02 A,-0.98 pf
19/03/2023 6:30:00 AM,242.67 V,243.92 V,242.65 V,8.34 A,4.32 A,4.08 A,-0.99 pf
19/03/2023 7:00:00 AM,243.30 V,244.47 V,243.39 V,8.22 A,4.38 A,4.99 A,-0.99 pf
19/03/2023 7:30:00 AM,244.32 V,245.30 V,245.33 V,8.50 A,4.72 A,5.20 A,-0.98 pf
19/03/2023 8:00:00 AM,243.48 V,244.46 V,244.76 V,9.01 A,4.84 A,4.72 A,-0.99 pf
19/03/2023 8:30:00 AM,242.50 V,243.39 V,243.87 V,9.43 A,5.05 A,4.57 A,-0.99 pf
19/03/2023 9:00:00 AM,243.84 V,244.68 V,245.13 V,9.70 A,5.08 A,4.87 A,-0.99 pf
19/03/2023 9:30:00 AM,243.30 V,244.23 V,244.49 V,10.46 A,5.02 A,6.53 A,-0.99 pf
19/03/2023 10:00:00 AM,242.67 V,243.46 V,243.70 V,10.88 A,5.17 A,6.53 A,-0.99 pf
19/03/2023 10:30:00 AM,242.84 V,243.80 V,244.18 V,11.00 A,5.17 A,6.59 A,-0.99 pf
19/03/2023 11:00:00 AM,244.32 V,245.16 V,245.59 V,11.31 A,5.38 A,6.98 A,-0.99 pf
19/03/2023 11:30:00 AM,244.70 V,245.66 V,245.98 V,11.43 A,5.23 A,7.17 A,-0.99 pf
19/03/2023 12:00:00 PM,244.71 V,245.66 V,245.92 V,11.70 A,5.23 A,6.26 A,-0.99 pf
19/03/2023 12:30:00 PM,244.61 V,245.66 V,245.78 V,12.27 A,5.50 A,6.89 A,-0.99 pf
19/03/2023 1:00:00 PM,244.49 V,245.43 V,245.54 V,12.40 A,5.11 A,7.71 A,-0.99 pf
19/03/2023 1:30:00 PM,244.16 V,245.01 V,245.37 V,12.24 A,5.53 A,6.50 A,-0.99 pf
19/03/2023 2:00:00 PM,244.01 V,244.85 V,245.14 V,12.67 A,5.56 A,8.10 A,-0.99 pf
19/03/2023 2:30:00 PM,244.18 V,245.07 V,245.38 V,12.73 A,5.62 A,6.74 A,-0.99 pf
19/03/2023 3:00:00 PM,244.09 V,244.95 V,245.43 V,12.85 A,5.41 A,6.71 A,-1.00 pf
19/03/2023 3:30:00 PM,243.84 V,244.99 V,245.42 V,13.27 A,5.56 A,7.13 A,-0.99 pf
19/03/2023 4:00:00 PM,244.08 V,245.11 V,245.59 V,14.18 A,5.53 A,7.26 A,-0.99 pf
19/03/2023 4:30:00 PM,244.34 V,245.28 V,245.61 V,14.30 A,5.38 A,7.44 A,-0.99 pf
19/03/2023 5:00:00 PM,245.26 V,246.31 V,246.86 V,13.39 A,5.35 A,6.65 A,-0.99 pf
